z,delta
485,1
1776,1
298,1
7690,1
8322,1
77604,0
113213,0
1951,1
1167,1
1170,1
1980,1
1749,1
43,1
1268,1
773,1
3342,1
123,1
5031,1
730,1
113104,0
11869,1
1088,1
236,1
326,1
39,1
10,1
12,1
16,1
10,1
1098,1
67,1
429,1
14,1
10,1
1116,1
4322,1
107837,0
5813,1
83816,0
133,1
684,1
588,1
7896,1
195,1
777,1
627,1
1619,1
1729,1
2203,1
620,1
7899,1
20,1
167,1
782,1
115754,0
11,1
299,1
1550,1
2128,1
356,1
4424,1
306,1
85814,0
20361,1
95683,0
2836,1
91700,0
900,1
621,1
2359,1
78,1
292,1
43,1
13,1
77,1
46,1
40,1
21,1
10,1
55,1
192,1
965,1
3437,1
853,1
4790,1
863,1
10,1
62,1
221,1
907,1
447,1
59,1
746,1
32,1
19,1
135,1
282,1
37,1
1232,1
4013,1
61,1
381,1
177,1
285,1
39,1
27,1
10,1
383,1
20,1
10,1
29,1
11,1
35,1
40,1
22,1
73,1
301,1
1742,1
35,1
59,1
157,1
26,1
270,1
39,1
12,1
23,1
18,1
54,1
10,1
155,1
14,1
80,1
108,1
10,1
1359,1
326,1
114,1
190,1
29,1
259,1
26,1
329,1
136235,0
1343,1
52,1
90515,0
23,1
26347,1
13074,1
218541,0
5836,1
74544,0
2217,1
650,1
8405,1
5066,1
1367,1
1093,1
953,1
8139,1
177826,0
1141,1
105,1
667,1
233,1
1858,1
924,1
206,1
1056,1
393,1
199,1
745,1
14,1
124,1
212,1
180,1
1299,1
111,1
487,1
273,1
15,1
285,1
136,1
826,1
784,1
342,1
157,1
93,1
3563,1
1463,1
355,1
1104,1
2698,1
2136,1
579,1
219,1
2720,1
3113,1
1202,1
514,1
40,1
546,1
268,1
28,1
263,1
49,1
3148,1
2667,1
77,1
127,1
144,1
5216,1
683,1
444,1
1720,1
641,1
210,1
227,1
426,1
858,1
1494,1
135,1
210677,0
105,1
1683,1
2392,1
12680,1
2458,1
104117,0
39,1
110,1
362,1
1406,1
110,1
102,1
3155,1
32,1
870,1
2995,1
236,1
467,1
248,1
4943,1
302,1
136,1
499,1
163,1
7223,1
27,1
1803,1
795,1
7493,1
10,1
528,1
445,1
797,1
7674,1
245,1
299,1
256,1
850,1
204565,0
